127.0.0.1 - - [17/Sep/2019:10:41:24 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Sep/2019:10:41:25 +0200] "GET /Biblioteca/CtrlMain HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [17/Sep/2019:10:41:31 +0200] "POST /Biblioteca/CtrlMain HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [17/Sep/2019:10:41:33 +0200] "POST /Biblioteca/CtrlArchivioGenere HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [17/Sep/2019:10:41:37 +0200] "POST /Biblioteca/CtrlMain HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [17/Sep/2019:10:41:38 +0200] "POST /Biblioteca/CtrlArchivioCasaEditrice HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [17/Sep/2019:10:41:41 +0200] "POST /Biblioteca/CtrlMain HTTP/1.1" 200 1069
0:0:0:0:0:0:0:1 - - [17/Sep/2019:10:41:43 +0200] "POST /Biblioteca/CtrlArchivioAutore HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [17/Sep/2019:10:41:45 +0200] "POST /Biblioteca/CtrlMain HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [17/Sep/2019:10:41:55 +0200] "POST /Biblioteca/CtrlMain HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [17/Sep/2019:10:41:56 +0200] "POST /Biblioteca/CtrlArchivioProfessore HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [17/Sep/2019:10:42:07 +0200] "POST /Biblioteca/CtrlMain HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [17/Sep/2019:10:43:50 +0200] "GET /Biblioteca/CtrlMain HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [17/Sep/2019:10:43:51 +0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Sep/2019:10:44:25 +0200] "POST /Biblioteca/CtrlMain HTTP/1.1" 500 2168
0:0:0:0:0:0:0:1 - - [17/Sep/2019:10:44:35 +0200] "GET /Biblioteca/CtrlMain HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [17/Sep/2019:10:44:51 +0200] "POST /Biblioteca/CtrlMain HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [17/Sep/2019:10:44:52 +0200] "POST /Biblioteca/CtrlArchivioGenere HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [17/Sep/2019:10:44:58 +0200] "POST /Biblioteca/CtrlMain HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [17/Sep/2019:10:45:02 +0200] "POST /Biblioteca/CtrlArchivioStudente HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [17/Sep/2019:10:45:08 +0200] "POST /Biblioteca/CtrlMain HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [17/Sep/2019:10:45:11 +0200] "POST /Biblioteca/CtrlArchivioProfessore HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [17/Sep/2019:10:45:14 +0200] "POST /Biblioteca/CtrlMain HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [17/Sep/2019:10:45:17 +0200] "POST /Biblioteca/CtrlArchivioProfessore HTTP/1.1" 200 1801
